year,quarter,state,registered_users
2018,1,Unknown,6106994
2018,1,Unknown,4694250
2018,1,Unknown,3717763
2018,1,Unknown,3336450
2018,1,Unknown,3315560
2018,1,Unknown,3158202
2018,1,Unknown,2690048
2018,1,Unknown,2604789
2018,1,Unknown,2553603
2018,1,Unknown,2133804
2018,2,Unknown,8222371
2018,2,Unknown,6442554
2018,2,Unknown,5030665
2018,2,Unknown,4402540
2018,2,Unknown,4260115
2018,2,Unknown,4212964
2018,2,Unknown,3833795
2018,2,Unknown,3565825
2018,2,Unknown,3441662
2018,2,Unknown,3005872
2018,3,Unknown,10435033
2018,3,Unknown,8096483
2018,3,Unknown,6372649
2018,3,Unknown,5427617
2018,3,Unknown,5175453
2018,3,Unknown,5138501
2018,3,Unknown,4851740
2018,3,Unknown,4433183
2018,3,Unknown,4309309
2018,3,Unknown,3900177
2018,4,Unknown,13381602
2018,4,Unknown,10341964
2018,4,Unknown,8315802
2018,4,Unknown,6857409
2018,4,Unknown,6529679
2018,4,Unknown,6358738
2018,4,Unknown,6279278
2018,4,Unknown,5579040
2018,4,Unknown,5365442
2018,4,Unknown,5199878
2019,1,Unknown,16284451
2019,1,Unknown,12458661
2019,1,Unknown,10266174
2019,1,Unknown,8283019
2019,1,Unknown,7963425
2019,1,Unknown,7712204
2019,1,Unknown,7449425
2019,1,Unknown,6652536
2019,1,Unknown,6414403
2019,1,Unknown,6296303
2019,2,Unknown,18776975
2019,2,Unknown,14316349
2019,2,Unknown,11968087
2019,2,Unknown,9389003
2019,2,Unknown,9046007
2019,2,Unknown,8783935
2019,2,Unknown,8612795
2019,2,Unknown,7574645
2019,2,Unknown,7429609
2019,2,Unknown,7301172
2019,3,Unknown,21313081
2019,3,Unknown,16044607
2019,3,Unknown,13635075
2019,3,Unknown,10458693
2019,3,Unknown,10090557
2019,3,Unknown,9797304
2019,3,Unknown,9643222
2019,3,Unknown,8429299
2019,3,Unknown,8428835
2019,3,Unknown,8180664
2019,4,Unknown,23745297
2019,4,Unknown,17949542
2019,4,Unknown,15385416
2019,4,Unknown,11757883
2019,4,Unknown,11220691
2019,4,Unknown,10925031
2019,4,Unknown,10885058
2019,4,Unknown,9620493
2019,4,Unknown,9323799
2019,4,Unknown,9165241
2020,1,Unknown,26168390
2020,1,Unknown,20136256
2020,1,Unknown,17016980
2020,1,Unknown,13022060
2020,1,Unknown,12306860
2020,1,Unknown,12142053
2020,1,Unknown,11960822
2020,1,Unknown,10872368
2020,1,Unknown,10259843
2020,1,Unknown,10151371
2020,2,Unknown,28765086
2020,2,Unknown,22498519
2020,2,Unknown,18655366
2020,2,Unknown,14319675
2020,2,Unknown,13563201
2020,2,Unknown,13378191
2020,2,Unknown,13222022
2020,2,Unknown,12150786
2020,2,Unknown,11392657
2020,2,Unknown,11374423
2020,3,Unknown,31409513
2020,3,Unknown,24838116
2020,3,Unknown,20487550
2020,3,Unknown,15692405
2020,3,Unknown,14969412
2020,3,Unknown,14590882
2020,3,Unknown,14448366
2020,3,Unknown,13643451
2020,3,Unknown,12564224
2020,3,Unknown,12467847
2020,4,Unknown,34432631
2020,4,Unknown,27249134
2020,4,Unknown,22400182
2020,4,Unknown,17076565
2020,4,Unknown,16329494
2020,4,Unknown,15927797
2020,4,Unknown,15662093
2020,4,Unknown,15357586
2020,4,Unknown,13737947
2020,4,Unknown,13605203
2021,1,Unknown,37077537
2021,1,Unknown,29482075
2021,1,Unknown,24095832
2021,1,Unknown,18363733
2021,1,Unknown,17661088
2021,1,Unknown,17149069
2021,1,Unknown,16808799
2021,1,Unknown,16632608
2021,1,Unknown,14839427
2021,1,Unknown,14670126
2021,2,Unknown,39664697
2021,2,Unknown,31651894
2021,2,Unknown,25751023
2021,2,Unknown,19620905
2021,2,Unknown,18980985
2021,2,Unknown,18306880
2021,2,Unknown,17979979
2021,2,Unknown,17804542
2021,2,Unknown,15940935
2021,2,Unknown,15735981
2021,3,Unknown,42581217
2021,3,Unknown,34151882
2021,3,Unknown,27614221
2021,3,Unknown,21059898
2021,3,Unknown,20499465
2021,3,Unknown,19615278
2021,3,Unknown,19323278
2021,3,Unknown,19127440
2021,3,Unknown,17210233
2021,3,Unknown,16946761
2021,4,Unknown,45482506
2021,4,Unknown,36617655
2021,4,Unknown,29459646
2021,4,Unknown,22489029
2021,4,Unknown,21977202
2021,4,Unknown,20917649
2021,4,Unknown,20644527
