state,year,quarter,insurance_type,count,amount
Andaman & Nicobar Islands,2020,2,Insurance,6,1360.0
Andaman & Nicobar Islands,2020,3,Insurance,41,15380.0
Andaman & Nicobar Islands,2020,4,Insurance,124,157975.0
Andaman & Nicobar Islands,2021,1,Insurance,225,244266.0
Andaman & Nicobar Islands,2021,2,Insurance,137,181504.0
Andaman & Nicobar Islands,2021,3,Insurance,230,305235.0
Andaman & Nicobar Islands,2021,4,Insurance,757,1056380.0
Andaman & Nicobar Islands,2022,1,Insurance,768,1131287.0
Andaman & Nicobar Islands,2022,2,Insurance,501,779740.0
Andaman & Nicobar Islands,2022,3,Insurance,643,902466.0
Andaman & Nicobar Islands,2022,4,Insurance,901,1441210.0
Andaman & Nicobar Islands,2023,1,Insurance,1004,1439198.0
Andaman & Nicobar Islands,2023,2,Insurance,768,1233395.0
Andaman & Nicobar Islands,2023,3,Insurance,795,1251145.0
Andaman & Nicobar Islands,2023,4,Insurance,1145,1757821.0
Andaman & Nicobar Islands,2024,1,Insurance,1371,1964556.0
Andaman & Nicobar Islands,2024,2,Insurance,1097,1744694.0
Andaman & Nicobar Islands,2024,3,Insurance,1191,1752800.0
Andaman & Nicobar Islands,2024,4,Insurance,1293,2026380.0
Andhra Pradesh,2020,2,Insurance,22104,3982391.0
Andhra Pradesh,2020,3,Insurance,49812,12426481.0
Andhra Pradesh,2020,4,Insurance,21464,12985632.0
Andhra Pradesh,2021,1,Insurance,22105,12749874.0
Andhra Pradesh,2021,2,Insurance,33205,22730687.0
Andhra Pradesh,2021,3,Insurance,23075,19914338.0
Andhra Pradesh,2021,4,Insurance,25423,31610335.0
Andhra Pradesh,2022,1,Insurance,29954,42648157.0
Andhra Pradesh,2022,2,Insurance,32185,41708072.0
Andhra Pradesh,2022,3,Insurance,39301,48791931.0
Andhra Pradesh,2022,4,Insurance,44329,58043239.0
Andhra Pradesh,2023,1,Insurance,34920,51963355.0
Andhra Pradesh,2023,2,Insurance,36376,52067478.0
Andhra Pradesh,2023,3,Insurance,43150,57802396.0
Andhra Pradesh,2023,4,Insurance,41798,62342423.0
Andhra Pradesh,2024,1,Insurance,46582,63563802.0
Andhra Pradesh,2024,2,Insurance,42547,62948281.0
Andhra Pradesh,2024,3,Insurance,48014,73915199.0
Andhra Pradesh,2024,4,Insurance,61425,80028914.0
Arunachal Pradesh,2020,2,Insurance,65,14329.0
Arunachal Pradesh,2020,3,Insurance,135,39687.0
Arunachal Pradesh,2020,4,Insurance,125,84247.0
Arunachal Pradesh,2021,1,Insurance,194,131611.0
Arunachal Pradesh,2021,2,Insurance,204,224928.0
Arunachal Pradesh,2021,3,Insurance,212,371051.0
Arunachal Pradesh,2021,4,Insurance,320,598459.0
Arunachal Pradesh,2022,1,Insurance,355,894107.0
Arunachal Pradesh,2022,2,Insurance,564,1360231.0
Arunachal Pradesh,2022,3,Insurance,510,1300304.0
Arunachal Pradesh,2022,4,Insurance,613,1464572.0
Arunachal Pradesh,2023,1,Insurance,606,1747475.0
Arunachal Pradesh,2023,2,Insurance,696,2095988.0
Arunachal Pradesh,2023,3,Insurance,718,1904786.0
Arunachal Pradesh,2023,4,Insurance,809,2105408.0
Arunachal Pradesh,2024,1,Insurance,1100,2419700.0
Arunachal Pradesh,2024,2,Insurance,1147,2353015.0
Arunachal Pradesh,2024,3,Insurance,842,1951385.0
Arunachal Pradesh,2024,4,Insurance,999,2359472.0
Assam,2020,2,Insurance,978,210034.0
Assam,2020,3,Insurance,2206,599450.0
Assam,2020,4,Insurance,2413,1806801.0
Assam,2021,1,Insurance,3167,2334419.0
Assam,2021,2,Insurance,3265,3008122.0
Assam,2021,3,Insurance,4495,6010865.0
Assam,2021,4,Insurance,8622,13962068.0
Assam,2022,1,Insurance,16230,27447766.0
Assam,2022,2,Insurance,9228,15357811.0
Assam,2022,3,Insurance,14149,22543564.0
Assam,2022,4,Insurance,18826,29239168.0
Assam,2023,1,Insurance,22100,36963888.0
Assam,2023,2,Insurance,16475,28368139.0
Assam,2023,3,Insurance,22593,35618158.0
Assam,2023,4,Insurance,23168,38731734.0
Assam,2024,1,Insurance,33097,48107248.0
Assam,2024,2,Insurance,22368,34796603.0
Assam,2024,3,Insurance,17633,31388971.0
Assam,2024,4,Insurance,21805,35336229.0
Bihar,2020,2,Insurance,2816,595621.0
Bihar,2020,3,Insurance,9733,2161102.0
Bihar,2020,4,Insurance,9913,7860932.0
Bihar,2021,1,Insurance,12554,8796619.0
Bihar,2021,2,Insurance,14301,13301581.0
Bihar,2021,3,Insurance,18030,18234941.0
Bihar,2021,4,Insurance,22456,27313813.0
Bihar,2022,1,Insurance,20253,27755736.0
Bihar,2022,2,Insurance,21892,28212833.0
Bihar,2022,3,Insurance,28511,34704251.0
Bihar,2022,4,Insurance,33895,43914519.0
Bihar,2023,1,Insurance,26929,38746711.0
Bihar,2023,2,Insurance,29212,40354886.0
Bihar,2023,3,Insurance,36550,45832355.0
Bihar,2023,4,Insurance,41447,57624322.0
Bihar,2024,1,Insurance,51592,63844442.0
Bihar,2024,2,Insurance,49101,65285065.0
Bihar,2024,3,Insurance,44745,62777286.0
Bihar,2024,4,Insurance,62662,83739800.0
Chandigarh,2020,2,Insurance,149,29537.0
Chandigarh,2020,3,Insurance,264,70969.0
Chandigarh,2020,4,Insurance,200,153341.0
Chandigarh,2021,1,Insurance,338,238576.0
Chandigarh,2021,2,Insurance,378,310943.0
Chandigarh,2021,3,Insurance,494,469634.0
Chandigarh,2021,4,Insurance,710,835813.0
Chandigarh,2022,1,Insurance,792,1150932.0
Chandigarh,2022,2,Insurance,1330,1874959.0
Chandigarh,2022,3,Insurance,1533,1998439.0
Chandigarh,2022,4,Insurance,1403,2024528.0
Chandigarh,2023,1,Insurance,1520,2415574.0
Chandigarh,2023,2,Insurance,1704,2501107.0
Chandigarh,2023,3,Insurance,1883,2660630.0
Chandigarh,2023,4,Insurance,1767,3053934.0
Chandigarh,2024,1,Insurance,1730,3143984.0
Chandigarh,2024,2,Insurance,1798,3177315.0
Chandigarh,2024,3,Insurance,1991,3445738.0
Chandigarh,2024,4,Insurance,2095,3729932.0
Chhattisgarh,2020,2,Insurance,1346,279005.0
Chhattisgarh,2020,3,Insurance,4702,1393656.0
Chhattisgarh,2020,4,Insurance,3757,2249901.0
Chhattisgarh,2021,1,Insurance,4712,2620468.0
Chhattisgarh,2021,2,Insurance,5055,3813417.0
Chhattisgarh,2021,3,Insurance,4676,3568837.0
Chhattisgarh,2021,4,Insurance,6029,8229039.0
Chhattisgarh,2022,1,Insurance,6612,10139190.0
Chhattisgarh,2022,2,Insurance,7008,10119964.0
Chhattisgarh,2022,3,Insurance,8849,12119470.0
Chhattisgarh,2022,4,Insurance,11994,18137856.0
Chhattisgarh,2023,1,Insurance,10460,16577191.0
Chhattisgarh,2023,2,Insurance,10514,16389610.0
Chhattisgarh,2023,3,Insurance,11927,17838382.0
Chhattisgarh,2023,4,Insurance,17300,29704673.0
Chhattisgarh,2024,1,Insurance,19579,30083259.0
Chhattisgarh,2024,2,Insurance,15724,25935743.0
Chhattisgarh,2024,3,Insurance,16550,27724060.0
Chhattisgarh,2024,4,Insurance,22723,37421165.0
Dadra & Nagar Haveli & Daman & Diu,2020,2,Insurance,651,101029.0
